benign,예문 없음,예문 없음,친절한쉼표 해롭지 않은,_,,benign
statute,예문 없음,예문 없음,법쉼표 규율,_,,statute
hush,예문 없음,예문 없음,침묵쉼표 조용히 시키다,_,,hush
blight,예문 없음,예문 없음,망치다쉼표 엉망으로 만들다,_,,blight
imputation,예문 없음,예문 없음,비난쉼표 전가,_,,imputation
illicit,예문 없음,예문 없음,불법의쉼표 사회 통념에 어긋나는,_,,illicit
companionship,예문 없음,예문 없음,우정,_,,companionship
reckon with,예문 없음,예문 없음,중요하게 고려하다,_,,reckon with
be subject to,예문 없음,예문 없음,대상이 되다,_,,be subject to
consist in,예문 없음,예문 없음,(주어의 본질이)~에 있다쉼표 존재하다,_,,consist in
put sth. over on sb.,예문 없음,예문 없음,~에 대해 ~에게 거짓말하다,_,,put sth. over on sb.
ram,예문 없음,예문 없음,때려 박다쉼표 밀어넣다쉼표 쑤셔 넣다,_,,ram
unpalatable,예문 없음,예문 없음,싫은쉼표 입에 맞지 않는,_,,unpalatable
esophagus,예문 없음,예문 없음,식도,_,,esophagus
wage,예문 없음,예문 없음,임금[급료]쉼표 (전쟁쉼표 전투 등)벌이다(계속하다),_,,wage
iniquitous,예문 없음,예문 없음,대단히 부당한[잘못된],_,,iniquitous
suave,예문 없음,예문 없음,정중한쉼표 상냥한,_,,suave
lash,예문 없음,예문 없음,후려치다,_,,lash
smart(동사),예문 없음,예문 없음,따끔거리다,_,,smart
rebuke,예문 없음,예문 없음,힐책[질책]하다쉼표 꾸짖다,_,,rebuke
