accrue,-,-,누적되다쉼표 축적되다쉼표 누적하다쉼표 축적하다 ,_,,accrue
admonish,-,-,꾸짖다쉼표 책망하다쉼표 (강력히) 충고하다,_,,admonish
adroit,-,-,노련한,_,,adroit
alleviate,-,-,완화하다,_,,alleviate
alter,-,-,변하다쉼표 달라지다쉼표 바꾸다쉼표 고치다,_,,alter
amass,-,-,모으다쉼표 축적하다,_,,amass
appalling,-,-,간담을 서늘케 하는쉼표 끔찍한쉼표 형편없는,_,,appalling
approbation,-,-,승인쉼표 찬성,_,,approbation
attribute A to B,-,-,A를 B의 덕분/탓으로 보다[말하다],_,,attribute A to B
blend,-,-,섞다쉼표 혼합하다쉼표 섞이다쉼표 혼합쉼표 조합,_,,blend
blunder,-,-,실수쉼표 실수하다,_,,blunder
chase after,-,-,~을 쫓아 가다,_,,chase after
compete,-,-,경쟁하다,_,,compete
comprehensive,-,-,포괄적인쉼표 종합적인,_,,comprehensive
conceal,-,-,감추다쉼표 숨기다,_,,conceal
confirm,-,-,사실임을 보여주다[확인해 주다]쉼표 확정하다,_,,confirm
consent,-,-,동의[허락]쉼표 합의쉼표 동의하다,_,,consent
covet,-,-,(특히 남의 물건을) 탐내다쉼표 갈망하다,_,,covet
creepy,-,-,오싹하게 하는쉼표 으스스한,_,,creepy
defect,-,-,결함쉼표 (정당쉼표 국가 등을) 버리다[떠나다],_,,defect
