utilized,활용하다,In the early days쉼표 dogs were utilized to deliver mail.,초기에는 개가 우편물 배달에 이용되었다.,In the early days쉼표 dogs were _ to deliver mail.,,utilized
chemical,화학의쉼표 화학적인쉼표 화학물질,The chemical symbol for copper is Cu.,구리의 화학 기호는 Cu이다.,The _ symbol for copper is Cu.,,chemical
fossil,화석쉼표 시대에 뒤진 사람[것],The fossil was found in the 1960s by a Canadian geologist.,그 화석은 1960년대에 캐나다인 지질학자에 의해 발견되었다.,The _ was found in the 1960s by a Canadian geologist.,,fossil
evaluate,평가하다쉼표 어림하다,They want to evalutate the situation objectively.,그들은 상황을 객관적으로 평가하고 싶어 한다.,They want to _ the situation objectively.,,evaluate
maximum,최고쉼표 최고의,My maximum file upload size is being set to 8 MB.,나의 파일 업로드 최대 크기는 8메가바이트로 설정되어있다.,My _ file upload size is being set to 8 MB.,,maximum
audience,청중쉼표 관객쉼표 독자쉼표 시청자,The interaction between the audience and the actors in the play influences the actors' performance.,연극에서 관객과 배우들 사이의 상호 작용은 배우들의 연기에 영향을 준다.,The interaction between the _ and the actors in the play influences the actors' performance.,,audience
advance,진보쉼표 전진쉼표 인상쉼표 나아가게 하다쉼표 오르다쉼표 촉진하다,With the advance of science쉼표 there has been a tendency to slip into scientism.,과학의 진보와 함께 과학지상주의로 빠져드는 경향이 있었다.,With the _ of science쉼표 there has been a tendency to slip into scientism.,,advance
traditional,전통의쉼표 전통적인,Their music blends modern and traditional styles.,그들의 음악은 현대적인 스타일과 전통적인 스타일을 조합하고 있다.,Their music blends modern and _ styles.,,traditional
legend,전설쉼표 전설적인 인물,According to the legend쉼표 Cyprusis known as the birthplace of Aphrodite.,전설에 따르면쉼표 Cyprus는 아프로디테의 탄생지로 알려져 있다.,According to the _쉼표 Cyprusis known as the birthplace of Aphrodite.,,legend
magnificent,장대한쉼표 화려한쉼표 위대한,Namibia is known for magnificent desert and well-developed safari properties.,나미비아는 장대한 사막과 잘 개발된 사파리 시설로 유명하다.,Namibia is known for _ desert and well-developed safari properties.,,magnificent
confidence,자신감쉼표 확신쉼표 신뢰,My students always had plenty of confidence.,나의 학생들은 항상 자신만만했다.,My students always had plenty of _.,,confidence
entitled,자격을 주다쉼표 제목을 붙이다,I will be entitled to my pension when I reach 60.,나는 60세가 되면 연금을 받을 자격이 주어질 것이다.,I will be _ to my pension when I reach 60.,,entitled
