demolish,-,-,철거하다쉼표 무너뜨리다쉼표 뒤집다쉼표 완파하다,_,,demolish
denounce,-,-,맹렬히 비난하다쉼표 고발하다,_,,denounce
descend,-,-,내려오다쉼표 내려가다쉼표 (아래로) 경사지다쉼표 내리막이 되다,_,,descend
destitution,-,-,빈곤쉼표 궁핍,_,,destitution
detect,-,-,발견하다[알아내다 / 감지하다],_,,detect
drab,-,-,생기 없는쉼표 칙칙한쉼표 재미없는,_,,drab
duel,-,-,결투쉼표 다툼[싸움],_,,duel
elate,-,-,고무하다쉼표 기운을 북돋아 주다; 뽐내게[우쭐대게] 하다,_,,elate
elevate,-,-,승진[승격]시키다쉼표 (들어) 올리다쉼표 (정도를) 높이다[증가시키다],_,,elevate
eliminate,-,-,없애다쉼표 제거[삭제]하다쉼표 탈락시키다,_,,eliminate
erudite,-,-,학식 있는쉼표 박식한,_,,erudite
evade,-,-,피하다[모면하다]쉼표 회피하다,_,,evade
exaggerate,-,-,과장하다,_,,exaggerate
expeditious,-,-,신속한쉼표 효율적인,_,,expeditious
fallacious,-,-,잘못된쉼표 틀린,_,,fallacious
fame,-,-,명성,_,,fame
futility,-,-,허무함쉼표 헛됨,_,,futility
give in,-,-,~에 항복하다쉼표 ~에 굴복하다,_,,give in
gloat over,-,-,~을 흡족한 듯[고소한 듯] 바라보다,_,,gloat over
gnaw,-,-,쓸다쉼표 갉아먹다쉼표 물어 뜯다,_,,gnaw
