appeal,흥미를 끌다,For a unique experience쉼표 vacation cruises with a theme are growing in appeal to travelers interested in art쉼표 photography쉼표 and science.,테마가 있는 크루즈 여행은 휴가 때 해볼 수 있는 남다른 체험을 통해 미술과 사진과 과학에 관심 있는 여행객들에게 매력을 더해가고 있다. <뉴욕 타임스> 2011년 2월 11일,For a unique experience쉼표 vacation cruises with a theme are growing in _ to travelers interested in art쉼표 photography쉼표 and science.,,appeal
addict,중독자,I따옴표ll admit it...I따옴표m a college addict쉼표 addicted to the freedom쉼표 the social aspect쉼표 the entertainment쉼표 and yes쉼표 even the classes! I loved it from the very first day.,인정한다. 나는 대학 중독자다쉼표 대학이 주는 자유와 사교와 여흥쉼표 그리고 심지어 수업에도 흠뻑 빠져 있다! 대학에 갓 입학한 그날부터 나는 대학과 사랑에 빠져버렸다. 빙 뉴스 www.associatedcontent.com 2011년 2월 17일,I따옴표ll admit it...I따옴표m a college _쉼표 addicted to the freedom쉼표 the social aspect쉼표 the entertainment쉼표 and yes쉼표 even the classes! I loved it from the very first day.,,addict
weary,경계하는,When at last they halted and dismounted쉼표 even Aragorn was stiff and weary.,그들은 마침내 가던 길을 멈추고 말에서 내렸다. 아라곤조차 몸이 뻣뻣하게 굳고 녹초가 되었다. J. R. R. 톨킨 『반지의 제왕: 두 개의 탑』,When at last they halted and dismounted쉼표 even Aragorn was stiff and _.,,weary
aware,알고 있는,I am well aware that the superheated station wagon is not an automotive staple in the United States.,엔진이 과열되는 스테이션 왜건 자동차가 미국을 대표하는 차가 아니라는 것쯤은 나도 잘 알고 있다. <오토모빌> 2009년 4월,I am well _ that the superheated station wagon is not an automotive staple in the United States.,,aware
misfortune,불운,Acceptance of what has happened is the first step to overcoming the consequences of any misfortune.,일어난 일을 받아들이는 것은 불행의 결과를 극복하는 첫걸음이다. 윌리엄 제임스 www.quotationsbook.com,Acceptance of what has happened is the first step to overcoming the consequences of any _.,,misfortune
avoid,피하다,Rudy쉼표 who was farthest away쉼표 caught up quickly쉼표 but not quickly enough to avoid being last.,가장 뒤처졌던 루디는 급히 따라잡았지만 꼴찌를 면할 정도로 빠르지는 않았다. 마커스 주삭 『책 도둑』,Rudy쉼표 who was farthest away쉼표 caught up quickly쉼표 but not quickly enough to _ being last.,,avoid
wretched,비참한,So poor Harry spent a wretched Veterans따옴표 Day weekend after that. But Dwayne spent a worse one.,가엾은 해리는 정말 비참한 재향군인의 날 주말을 보냈다. 그러나 드웨인이 보낸 주말은 그 이상으로 나빴다. 커트 보네거트 『챔피언들의 아침식사』,So poor Harry spent a _ Veterans따옴표 Day weekend after that. But Dwayne spent a worse one.,,wretched
keg,10갤런 미만의 양을 담는 작은 통,Vintage wine by the keg is now available to New York City eateries.,요즘은 나무통에 담긴 빈티지 와인을 뉴욕 시의 식당에서도 볼 수 있다. www.silive.com 2010년 10월 28일,Vintage wine by the _ is now available to New York City eateries.,,keg
nourish,영양을 공급하다,Once you see how easy it is to nourish your heart쉼표 you따옴표ll be inspired to indulge in these delicious power meals regularly.,심장의 힘을 키우는 것이 얼마나 쉬운 일인지 알게 되면 여러분은 균형 잡힌 이 맛난 식사를 규칙적으로 하는 일에 탐닉하게 될 것이다. <예방 의학> 2010년 11월,Once you see how easy it is to _ your heart쉼표 you따옴표ll be inspired to indulge in these delicious power meals regularly.,,nourish
harsh,가혹한,Her voice was softer now쉼표 less harsh.,그녀의 목소리는 이제 더 부드러워졌고 거친 느낌이 덜해졌다. 타티아나 드 로즈네이 『사라의 열쇠』,Her voice was softer now쉼표 less _.,,harsh
quantity,양쉼표 액수,There was Mrs. Weasley따옴표s usual package쉼표 including a new sweater and a large quantity of homemade mince pies.,위즐리 부인이 늘 싸는 꾸러미가 있었는데쉼표 그 속에는 새 스웨터 하나와 많은 양의 수제 민스파이가 들어 있었다. J. K. 롤링 『해리 포터와 불의 잔』,There was Mrs. Weasley따옴표s usual package쉼표 including a new sweater and a large _ of homemade mince pies.,,quantity
opt,선택하다,The accused stalker will opt to stay in jail and go to trial rather than see a shrink.,스토커로 기소된 그 사람은 정신과 의사를 만나느니 교도소에 머물면서 재판에 회부되는 쪽을 선택할 것이다. <뉴욕 데일리 뉴스> 2011년 2월 14일,The accused stalker will _ to stay in jail and go to trial rather than see a shrink.,,opt
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
