prolific,(작가 등이)다작의,The man is a prolific author with over 200 published books.,그 남자는 200권 이상의 책을 출판한 다작 작가이다.,The man is a _ author with over 200 published books.,,prolific
myth,신화,Myths about the creation of humankind are mammon to many cultures.,인류의 창조에 대한 신화는 많은 문화권에서 공통적이다.,_ about the creation of humankind are mammon to many cultures.,,Myths
narrative,이야기쉼표 서술,The book따옴표s narrative was made more interesting by its unusual characters.,그 책의 이야기는 특이한 등장인물들로 더 흥미로워졌다.,The book따옴표s _ was made more interesting by its unusual characters.,,narrative
narrative,서술의쉼표 이야기체의,The actress used a narrative style in writing her autobiography.,그 여배우는 그녀의 자서전을 쓰는 데 서술 방식을 사용했다.,The actress used a _ style in writing her autobiography.,,narrative
obscure,분명하지 않은쉼표 애매한,Translations of literary works often make the authors따옴표 intended meaning obscure.,문학 작품의 변역은 종종 작가가 의도한 의미를 분명하지 않게 만든다.,Translations of literary works often make the authors따옴표 intended meaning _.,,obscure
obscure,가리다쉼표 흐리게 하다,Heavy snowfall obscured the road ahead.,강한 눈보라가 앞의 도로를 가렸다.,Heavy snowfall _ the road ahead.,,obscured
edition,(간행물의) 판,The collector bought a rare first edition of the book.,그 수집가는 그 책의 희귀한 초판을 구매했다.,The collector bought a rare first _ of the book.,,edition
engrossing,마음을 사로잡는쉼표 몰두하게 하는,The memoir was so engrossing that I read it in one day.,그 회고록은 내 마음을 매우 사로잡아서 나는 그것을 하루 만에 다 읽었다.,The memoir was so _ that I read it in one day.,,engrossing
plot,줄거리쉼표 구상,The plot of this story was partly based on actual events.,이 이야기의 줄거리는 부분적으로 실제 사건들을 바탕으로 하였다.,The _ of this story was partly based on actual events.,,plot
copy,(같은 책쉼표 잡지의)부 / 사본,Please kindly accept a copy of my new novel.,부디 새로 나온 제 소설 한 부를 받아 주십시오.,Please kindly accept a _ of my new novel.,,copy
copy,(같은 책쉼표 잡지의)부 / 사본,A copy of the company따옴표s annual financial report is available online. ,그 회사의 연간 재정 보고서의 사본은 온라인에서 볼 수 있다.,A _ of the company따옴표s annual financial report is available online. ,,copy
fathom,이해하다쉼표 헤아리다,Even after the teacher explained it쉼표 I couldn따옴표t fathom what the poem meant.,선생님이 설명해주신 후에도 나는 그 시가 무엇을 의미하는지 이해할 수 없었다.,Even after the teacher explained it쉼표 I couldn따옴표t _ what the poem meant.,,fathom
translate,번역하다쉼표 통역하다,The software can translate text from English into various other languages.,그 소프트웨어는 영어로 된 글을 다양한 다른 언어들로 번역할 수 있다.,The software can _ text from English into various other languages.,,translate
banality,진부함쉼표 진부한 말,The banality of the plot made the book predictable.,따옴표줄거리의 진부함은 그 책을 뻔하게 만들었다.,The _ of the plot made the book predictable.,,banality
tangential,거의 관계가 없는,The editor suggested removing any tangential information and being more direct.,그 편집자는 거의 관계가 없는 정보들을 삭제하고 더 직접적일 것을 제안했다.,The editor suggested removing any _ information and being more direct.,,tangential
value,가치,The value of these old쉼표 rare comic books was estimated at fifty thousand dollars.,이 오래되고 희귀한 만화책의 가치는 5만달러로 추산되었다.,The _ of these old쉼표 rare comic books was estimated at fifty thousand dollars.,,value
value,높이 평가하다,Martin values the ability to speak several languages.,Martin은 여러 언어를 구사하는 능력을 높이 평가한다.,Martin _ the ability to speak several languages.,,values
